#,Date,Category,Amount,Y,M,D
0,2017-09-01,Amazon,6717.0,2017,09,01
1,2017-09-01,Amazon,258.0,2017,09,01
2,2017-09-01,Amazon,2284.0,2017,09,01
3,2017-09-01,Amazon,2296.0,2017,09,01
4,2017-09-04,Amazon,1135.0,2017,09,04
5,2017-09-14,Food,1474.0,2017,09,14
6,2017-09-14,Amazon,250.0,2017,09,14
7,2017-09-14,Amazon,250.0,2017,09,14
8,2017-09-18,Amazon,10040.0,2017,09,18
9,2017-09-25,Amazon,7722.0,2017,09,25
10,2017-09-27,Amazon,8545.0,2017,09,27
11,2017-09-27,Amazon,4673.0,2017,09,27
12,2017-09-30,Hobby,56312.0,2017,09,30
13,2017-09-30,Amazon,1060.0,2017,09,30
14,2017-09-30,Hobby,1980.0,2017,09,30
17,2017-10-05,Amazon,657.0,2017,10,05
16,2017-10-05,Amazon,535.0,2017,10,05
18,2017-10-07,Amazon,2380.0,2017,10,07
19,2017-10-07,Amazon,250.0,2017,10,07
20,2017-10-09,Amazon,7700.0,2017,10,09
21,2017-10-12,Amazon,900.0,2017,10,12
22,2017-10-12,Hobby,980.0,2017,10,12
24,2017-10-15,Amazon,819.0,2017,10,15
25,2017-10-15,Amazon,508.0,2017,10,15
26,2017-10-16,Amazon,10040.0,2017,10,16
27,2017-10-16,Transport,14940.0,2017,10,16
28,2017-10-19,Hobby,4534.0,2017,10,19
29,2017-10-20,Game,2246.0,2017,10,20
30,2017-10-20,Amazon,819.0,2017,10,20
31,2017-10-20,Amazon,540.0,2017,10,20
34,2017-10-22,Amazon,765.0,2017,10,22
32,2017-10-22,Amazon,6056.0,2017,10,22
33,2017-10-22,Amazon,819.0,2017,10,22
35,2017-10-27,Game,6458.0,2017,10,27
37,2017-10-30,Amazon,250.0,2017,10,30
38,2017-10-30,Amazon,250.0,2017,10,30
39,2017-10-31,Amazon,250.0,2017,10,31
40,2017-10-31,Amazon,250.0,2017,10,31
41,2017-10-31,Amazon,150.0,2017,10,31
42,2017-10-31,Amazon,150.0,2017,10,31
43,2017-10-31,Amazon,250.0,2017,10,31
44,2017-10-31,Amazon,150.0,2017,10,31
45,2017-10-31,Amazon,150.0,2017,10,31
46,2017-10-31,Food,2095.0,2017,10,31
49,2017-11-01,Hobby,92873.0,2017,11,01
48,2017-11-01,Amazon,778.0,2017,11,01
47,2017-11-01,Amazon,778.0,2017,11,01
51,2017-11-02,Game,2052.0,2017,11,02
52,2017-11-02,Amazon,12301.0,2017,11,02
53,2017-11-02,Amazon,1747.0,2017,11,02
54,2017-11-02,Amazon,1061.0,2017,11,02
55,2017-11-05,Amazon,203.0,2017,11,05
56,2017-11-05,Amazon,400.0,2017,11,05
57,2017-11-05,Amazon,300.0,2017,11,05
58,2017-11-05,Amazon,429.0,2017,11,05
59,2017-11-10,Amazon,642.0,2017,11,10
60,2017-11-10,Amazon,648.0,2017,11,10
61,2017-11-12,Daily,12915.0,2017,11,12
62,2017-11-13,Amazon,3558.0,2017,11,13
63,2017-11-13,Amazon,4857.0,2017,11,13
68,2017-11-14,Amazon,250.0,2017,11,14
67,2017-11-14,Amazon,250.0,2017,11,14
66,2017-11-14,Amazon,250.0,2017,11,14
65,2017-11-14,Amazon,920.0,2017,11,14
64,2017-11-14,Hobby,37984.0,2017,11,14
69,2017-11-17,Amazon,5378.0,2017,11,17
70,2017-11-20,Amazon,250.0,2017,11,20
